Innovation / Development,Frontier,buzz (google returns for each keyword),type,now,2025,2030,2040,2050,beyond,,Source(s),URL,URL,URL,URL,URL,URL,URL,URL
Deficient Social Media,Social technology,"1,130,000,000",development,"Social media used increasingly to spread and amplify dis- and mis-information to confuse, divide and polarise audiences",,,,,,,,,,,,,,,
Blockchain,Social technology,"188,000,000",innovation,"Despite substantial shocks and reputational collapse, blockchain tech stands as a developing and credible addition finanicial and trading services.",,"Blockchain acts a bulkwalk against cybercrime. Decentralized, distributed systems creates more robust defenses against data breaches. ","Hospitals and other healthcare organizations create centralized and secure blockchain databases, storing medical records and share only with patients and authorized custodians.","Enhanced next-gen blockchain reduced bureaucracy increases security, efficiency and transparency in government. Welfare and unemployment benefits more easily verified and distributed. Electoral votes could be counted and verified for legitimacy.",,,Forbes,https://www.forbes.com/sites/theyec/2018/03/09/eight-ways-blockchain-will-impact-the-world-beyond-cryptocurrency/#1572bc6e1886,,,,,,,
Internet of Things,Social technology,"309,000,000",innovation,Smart objects increasingly and effectively used in industry and consumer settings.,,"Governments attempt to integrate IoT tech, using data to improve healthcare, transport, security, defence, infrastructure etc. ",Connecting objects with infrastructure (e.g. cars and roads) drastically reduce traffic accidents and deaths. And empower rapid disaster response for natural disasters.,,,,"Deloitte, Microsoft, Business Insider",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,http://enterprise.microsoft.com/en-us/industries/government/the-future-of-government/,http://uk.businessinsider.com/researchers-predictions-future-artificial-intelligence-2015-10?r=US&IR=T,,,,,
Infrastructure bottlenecks,Social technology,"112,000",development,Many governments need to modernise existing infrastructure - but struggle with cost and vision.,,"Govt investment in connectivity tech to encourage flexible working arrangements, e.g. telecommuting, to reduce pressure on congested cities & overloaded transport systems. ",,,,,"Deloitte, Verve, McKinsey, KMPG",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,http://www.theverge.com/2014/8/23/6058299/our-future-government-will-work-more-like-amazon,http://www.mckinsey.com/insights/public_sector/government_designed_for_new_times,https://home.kpmg.com/xx/en/home/insights/2015/03/future-state-2030.html,,,,
ECONOMY,,,,,,,,,,,,,,,,,,,
Patchwork careers,Economics,3730,development,"More micro-entrepreneurs (e.g. Etsy sellers, Uber drivers). Regulation & tax upheavals to support tech-informed class of individual workers. ","Government workforce expanded to include partnership talent, borrowed talent, freelance talent, open-source talent, home-working talent, gig talent.",Re-learning Economy. National competitiveness relies on ability to continually retrain workers to keep up with changing environment & technologies.,,,,,Deloitte,https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,,,,,,,
Income inequalisation,Economics,"799,000",development,"Global income inequality rising. Governments prioritise access to healthcare, education, etc., for the poorest segments. ","Performance-related salaries. Payment-for-results models become mainstream, shifts financial risk from government to investors. ","Universal Basic Income. As robotics and automation replace jobs, nations experiment with giving their citizens flat-rate salaries, instead of benefits.","Expanding middle class. 60% of the global population are middle class, up from 27% in 2009. Knowledge workers dominate the market. But who performs all the manual labour? ",,,,Deloitte,https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,,,,,,,
Digital Banking,Economics,"1,220,000",innovation,"Lightweight financial and banking services on offer, without the need to maintain heavy banking infrastructure nor comply with complex regulations. Traditional banking under threat.",,digital currencies are fully mainstream. Digital theft protection is a primary concern for governments.,,,,,"Deloitte, Business Insider",https://www2.deloitte.com/uk/en/pages/financial-services/articles/compliance-and-competitiveness.html,http://uk.businessinsider.com/6-predictions-about-the-future-of-transportation-2015-11?r=US&IR=T,,,,,,
Wealth movement west to east,Economics,"18,100",development,,,Tipping Point. Developing countries account for 57% of global GDP.,"Economic power and wealth moves from west to east, shifting global politics. ",China and India account for 25% of global GDP,,,"Deloitte, KMPG",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,https://home.kpmg.com/xx/en/home/insights/2015/03/future-state-2030.html,,,,,,
ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,,,,,,
Commercial AI,Artificial intelligence,"28,900",innovation,"Passive AI. Used for product development, automating rote tasks, improving services, & monitoring employees.","AI Assistants. Chatbots & digital assistants interact with job candidates, identify and score video interviews, and understand the sentiment of engagement surveys. ","AI Hiring. Increasingly used in HR. Analytics tools are intelligently selecting candidates, identifying employees’ career options, and coaching managers on improving their leadership skills.",,,,,"Deloitte, Kellogg, FHI, Business Insider",https://www2.deloitte.com/insights/us/en/focus/human-capital-trends/2018/ai-robotics-intelligent-machines.html,https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,https://www.fhi.ox.ac.uk/publications/,https://kellogg.nd.edu/publications/workingpapers/WPS/172.pdf,http://uk.businessinsider.com/researchers-predictions-future-artificial-intelligence-2015-10?r=US&IR=T,https://www2.deloitte.com/insights/us/en/focus/human-capital-trends/2018/ai-robotics-intelligent-machines.html,,
Generative AI,Artificial intelligence,,,"Cambrian explosion of generative AI services democratize content and visual media creation, flooding the market and the group imagination with new resources and possibilities.","Generative AI enhanced careers both boost and reduce creative, academic, craft and content careers.","Next generation generative AI's can infer depth, create moving images and animations, and link to accessory tech like 3D printing to produce objects, art works and products in minutes.",,,,,,,,,,,,,
Machine Learning,Artificial intelligence,"67,000,000",innovation,"Machine learning is being used gain competitive insights in financial services, healthcare, oil & gas, marketing & sales, & transport. ",,"Intelligent, learning machines mimick human thought process. Used to automate administrative tasks, assist in problem solving etc.",Security cameras conduct marketing research on passing consumers. Healthcare scanners help technicians. Guided surgeries are are the norm. Farm equipment increasingly autonomous.,Machine learning + geonomics results in highly individualized medical treatments.,,,"Deloitte, Kellogg, FHI, Business Insider, SAS",https://www2.deloitte.com/insights/us/en/focus/human-capital-trends/2018/ai-robotics-intelligent-machines.html,https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,https://www.fhi.ox.ac.uk/publications/,https://kellogg.nd.edu/publications/workingpapers/WPS/172.pdf,http://uk.businessinsider.com/researchers-predictions-future-artificial-intelligence-2015-10?r=US&IR=T,https://www.sas.com/en_gb/insights/analytics/machine-learning.html#machine-learning-users,https://www2.deloitte.com/insights/us/en/focus/human-capital-trends/2018/ai-robotics-intelligent-machines.html,
Machine Reading & comprehension,Artificial intelligence,"175,000",innovation,AI's trained of trillions of English documents can generate text in any style in any text and answer questions and analyse the content. ,,Automated multi-lingual chat AI's provide automated customer and information services worldwide.,,,,,"Microsoft, Forbes, VisionOnline",https://blogs.microsoft.com/ai/microsoft-creates-ai-can-read-document-answer-questions-well-person/,https://www.visiononline.org/blog-article.cfm/Machine-Vision-Trends-to-Watch-in-2018-and-Beyond/93,https://www.forbes.com/sites/forbestechcouncil/2018/04/26/technology-that-sees-the-world-welcome-to-the-future-of-computer-vision/#5fe5dfd33cbb,,,,,
Robotics,Artificial intelligence,"953,000",innovation,"Hundreds of thousands of robots and collaborative ""co-bots"" already in operation in retail and manufacturing.  ",,Robots which can read emotions and converse will become our friends. ,"Home robots help elders with everyday tasks, predict when they need to use the toilet, detect falls & more.",800+ million global workers are replaced by robots. ,,,"Deloitte, CNN, Kellogg, FHI, Business Insider, Guardian",https://www2.deloitte.com/insights/us/en/focus/human-capital-trends/2018/ai-robotics-intelligent-machines.html,https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,https://www.fhi.ox.ac.uk/publications/,https://kellogg.nd.edu/publications/workingpapers/WPS/172.pdf,http://uk.businessinsider.com/researchers-predictions-future-artificial-intelligence-2015-10?r=US&IR=T,https://edition.cnn.com/2015/06/22/tech/pepper-robot-sold-out/,https://www2.deloitte.com/insights/us/en/focus/human-capital-trends/2018/ai-robotics-intelligent-machines.html,https://www.theguardian.com/world/2018/feb/06/japan-robots-will-care-for-80-of-elderly-by-2020
CLIMATE & CLEAN ENERGY,,,,,,,,,,,,,,,,,,,
Climate Legislation,Climate,"143,000",development,"Supranational and national bodies further legislate on emissions. Single use plastic bans, new ecological building standards",,"Adaptive GAction. Policy on climate change switches from ineffective top-down system of IPCC initiatives to a bottom-up approach, engaging all levels of power and acting locally.","The First ""netzero"" commitments are enacted by governments & corporations. ","""Growth within limits"" is the inward developmental mindset necessary to reduce our ecological footprint.",Businesses cannot operate unless they are fully sustainable at their core. ,,"St. Anthony's International Review, KMPG, Deloitte",http://www.ingentaconnect.com/content/stair/stair/2009/00000005/00000001/art00006,https://home.kpmg.com/xx/en/home/insights/2015/03/future-state-2030.html,https://www2.deloitte.com/uk/en/pages/energy-and-resources/articles/alternative-thinking.html,,,,,
Smart Sustainable Energy,Climate,"5,460,000",innovation,"The drive to pioneer efficient and affordable energy solutions drives innovation in the energy, technology and industry sectors.",,"Passive climate control systems, innovative water/sewage treatment flows, green building materials and high-performance recycling technology","The sharing economy meets renewables, propelling the growth of community solar, crowd-funding, and other forms of shared participation in renewable energy deployment.",A full-scale “grid independence” could be underway with smart- and micro-grids able to store and modulate the viable energy output from renewables.,Global electrification of power systems progressing. ,,"Arcosanti, Deloitte",https://arcosanti.org/Arcology,https://www2.deloitte.com/uk/en/pages/energy-and-resources/articles/alternative-thinking.html,https://www2.deloitte.com/uk/en/pages/energy-and-resources/articles/alternative-thinking.html,https://www2.deloitte.com/uk/en/pages/energy-and-resources/articles/future-of-global-power-sector.html,https://www2.deloitte.com/uk/en/pages/financial-services/articles/compliance-and-competitiveness.html,,,
Declining natural resources,Climate,"17,500",development,"Top priority area for WEF, UN etc. ",,Food prices predicted to double by 2030. Potential 40% global gap between water supply and demand by 2030,,Military-led responses to natural disasters become the norm. ,,,"Deloitte, PWC, Humanitarian Practice Network, KMPG",https://www2.deloitte.com/content/dam/Deloitte/tr/Documents/public-sector/gov2020-journey-future-government2-130315.pdf,https://www.pwc.com/gx/en/psrc/publications/assets/pwc_future_of_government_pdf.pdf,http://odihpn.org/magazine/military-responses-to-natural-disasters-last-resort-or-inevitable-trend/,https://home.kpmg.com/xx/en/home/insights/2015/03/future-state-2030.html,,,,
Molecular Agriculture,Climate,"12,200",innovation,Veganism increasing in global population as ecological costs of meat industry become more apparent.,Lab-grown meat becomes affordable and begins to become socially acceptable.,"Almost all meat-based foods replacable by high tech plant formulations and lab-cultured meats, mimicking the taste, smell, and texture.",,,,,BBC,http://www.bbc.com/future/story/20171214-could-ai-help-create-a-meat-free-world,,,,,,,
Industrial Sector changes,Climate,6430,development,,,"Circular economic principles become more primary. Recycling, recovery, re-use of material the norm, rather than just 'waste'.","Shift from industry-based sectors to issue-based sectors, e.g. creative industries, agri-food and water, wellbeing and welfare. ",,,,PwC,https://www.pwc.com/gx/en/psrc/publications/assets/pwc_future_of_government_pdf.pdf,,,,,,,
Climate engineering,Cimate,"459,000",development,Proposals for engineering carbon drawdown systems are scoped and budgeted.,,First prototypes for atmospheric sequestration of carbon dioxide are in operation,,,"Carbon capture, land weathering, ocean fertisilation - massive, costly bio-engineering projects implemented on a global scale - costing trillions of dollars, required to drawdown gigatons of surplus carbon dioxide from the atmosphere.",,KMPG,https://home.kpmg.com/xx/en/home/insights/2015/03/future-state-2030.html,,,,,,,
